cd_mun,DSC,rain_today
3500600,2,0
3501806,20,0
3502002,2,0
3502507,3,0
3502804,20,0
3503000,18,0
3505351,3,0
3506300,3,0
3515707,3,0
3510906,18,0
3527306,3,0
3527702,2,0
3531209,3,0
3531902,2,0
3516408,3,0
3522109,3,0
3523701,18,0
3526902,2,0
3539301,3,0
3539608,2,0
3539806,3,0
3530201,3,0
3534401,3,0
3534609,21,0
3534807,21,0
3551306,20,0
3551504,2,0
3539905,2,0
3540507,3,0
3540705,3,0
3541653,3,0
3543709,3,0
3545209,3,0
3545506,3,0
3546702,3,0
3547403,20,0
3547601,2,0
3550308,2,0
3554409,18,0
3556206,2,0
3556404,2,0
3506706,2,0
3528007,3,0
3528205,20,0
3528601,3,0
3528809,3,0
3532058,3,0
3532157,3,0
3532405,3,0
3532603,2,0
3532827,3,0
3523800,18,0
3524105,2,0
3524303,18,0
3524600,3,0
3524808,20,0
3529005,3,0
3529203,2,0
3529658,20,0
3530003,20,0
3532843,18,0
3542800,3,0
3543105,18,0
3548906,2,0
3537701,21,0
3537909,1,0
3540309,20,0
3540754,3,0
3540853,2,0
3541109,3,0
3541604,3,0
3544707,2,0
3544905,2,0
3545100,21,0
3545704,20,0
3546504,18,0
3546900,3,0
3547650,20,0
3548005,2,0
3548104,3,0
3548302,18,0
3549300,20,0
3555901,3,0
3509452,3,0
3520004,3,0
3515350,0,1
3522158,3,0
3529807,3,0
3542305,3,0
3551702,18,0
3536604,18,0
3553500,1,0
3555307,20,0
3555406,3,0
3555604,18,0
3543238,17,0
3556958,20,0
3557154,18,0
3546207,3,0
3546306,2,0
3547304,3,0
3548609,2,0
3549003,20,0
3550209,3,0
3550605,3,0
3550902,2,0
3551900,18,0
3552106,2,0
3552304,18,0
3552502,3,0
3552700,20,0
3553005,3,0
3553203,18,0
3553708,18,0
3553856,3,0
3553955,3,0
3554201,3,0
3554508,3,0
3554706,3,0
3554904,20,0
3555000,2,0
3555208,2,0
3555802,20,0
3556453,3,0
3556602,3,0
3500402,3,0
3500808,17,0
3501004,2,0
3501202,20,0
3503950,20,0
3504107,2,0
3501509,3,0
3504305,3,0
3504602,18,0
3502200,3,0
3502408,3,0
3503307,3,0
3503604,3,0
3503802,2,0
3504701,3,0
3504909,2,0
3505302,3,0
3505609,18,0
3505807,2,0
3506102,18,0
3506409,20,0
3506607,3,0
3506904,3,0
3515004,3,0
3530805,2,0
3542503,3,0
3541000,1,0
3541406,17,0
3541802,18,0
3542008,2,0
3543303,3,0
3543907,3,0
3544251,0,1
3544400,20,0
3546603,20,0
3549102,2,0
3549250,20,0
3549508,2,0
3549805,18,0
3549953,3,0
3550803,3,0
3554656,3,0
3507456,3,0
3507605,2,0
3509908,0,1
3507902,2,0
3508108,2,0
3508306,3,0
3508504,3,0
3508702,18,0
3509007,3,0
3509205,3,0
3509304,18,0
3509502,2,0
3509957,3,0
3510104,18,0
3515905,18,0
3510153,3,0
3510500,2,0
3510708,18,0
3511003,20,0
3516606,3,0
3511300,2,0
3511508,3,0
3511706,3,0
3512001,18,0
3512209,3,0
3512506,21,0
3512704,3,0
3512902,20,0
3513207,1,0
3513405,3,0
3513603,3,0
3513801,3,0
3514007,3,0
3514205,20,0
3514403,21,0
3514601,2,0
3514809,3,0
3514924,18,0
3515103,3,0
3515152,2,0
3515608,2,0
3516101,3,0
3516309,3,0
3516903,18,0
3517109,21,0
3517406,11,0
3517604,3,0
3517802,20,0
3518800,3,0
3519006,2,0
3519808,18,0
3520202,2,0
3520400,2,0
3520442,20,0
3520608,17,0
3522703,2,0
3525300,2,0
3525508,2,0
3525706,2,0
3527405,18,0
3518206,20,0
3518404,2,0
3518602,3,0
3519071,2,0
3519105,2,0
3519303,1,0
3519501,3,0
3520905,3,0
3521101,3,0
3521200,3,0
3521507,2,0
3521705,3,0
3521903,18,0
3522505,3,0
3522901,3,0
3523107,3,0
3523305,1,0
3525003,3,0
3526001,21,0
3526209,1,0
3526506,20,0
3526704,2,0
3527009,3,0
3527207,3,0
3529302,3,0
3529500,2,0
3500105,18,0
3500204,2,0
3500303,2,0
3500501,3,0
3500550,3,0
3500709,3,0
3500758,3,0
3500907,18,0
3501103,20,0
3501152,3,0
3501301,3,0
3501400,3,0
3504008,3,0
3504206,18,0
3531308,18,0
3531506,18,0
3531704,2,0
3533106,21,0
3533254,18,0
3535903,20,0
3536109,3,0
3539004,18,0
3530508,14,0
3532900,21,0
3533403,3,0
3533601,2,0
3533809,3,0
3534104,3,0
3534302,2,0
3535002,18,0
3535309,3,0
3535606,3,0
3536307,2,0
3536505,2,0
3536703,2,0
3537008,1,0
3537156,3,0
3537404,20,0
3538006,2,0
3538303,17,0
3538600,2,0
3538808,3,0
3546108,20,0
3501608,3,0
3504404,20,0
3504503,3,0
3501707,18,0
3501905,2,0
3502101,20,0
3502309,3,0
3502606,18,0
3502705,3,0
3502754,3,0
3502903,2,0
3503109,3,0
3503158,18,0
3503208,1,0
3503356,2,0
3503406,3,0
3503505,3,0
3503703,18,0
3503901,3,0
3507308,3,0
3507407,2,0
3507506,3,0
3504800,20,0
3505005,3,0
3505104,20,0
3505203,3,0
3507704,20,0
3505401,1,0
3505500,18,0
3505708,3,0
3505906,2,0
3506003,3,0
3506201,20,0
3506359,3,0
3506508,2,0
3506805,2,0
3507001,3,0
3507100,2,0
3507159,3,0
3507209,3,0
3515301,3,0
3507753,20,0
3507803,2,0
3508009,3,0
3508207,18,0
3508405,2,0
3508603,3,0
3508801,3,0
3508900,17,0
3509106,14,0
3509254,3,0
3509403,2,0
3509601,2,0
3509700,2,0
3509809,3,0
3510005,3,0
3515806,18,0
3516002,18,0
3510203,3,0
3510302,2,0
3510401,2,0
3510609,3,0
3510807,2,0
3511102,18,0
3516705,3,0
3516804,2,0
3516853,21,0
3517000,2,0
3517208,3,0
3517307,3,0
3517505,18,0
3517703,2,0
3517901,18,0
3511201,2,0
3511409,3,0
3511607,3,0
3511904,21,0
3512100,18,0
3512308,3,0
3518859,18,0
3518909,18,0
3512407,3,0
3512605,3,0
3512803,2,0
3513009,2,0
3513108,2,0
3519709,2,0
3519907,3,0
3520103,18,0
3520301,1,0
3520426,1,0
3520509,3,0
3513306,3,0
3513504,1,0
3513702,2,0
3520806,21,0
3513850,20,0
3513900,2,0
3522653,3,0
3522802,3,0
3514106,3,0
3525102,2,0
3525201,2,0
3525409,18,0
3525607,2,0
3525805,3,0
3514304,2,0
3514502,3,0
3514700,3,0
3514908,3,0
3527504,3,0
3527603,18,0
3527801,3,0
3527900,3,0
3528106,2,0
3528304,20,0
3528403,3,0
3528502,3,0
3528700,3,0
3514957,18,0
3515129,18,0
3531100,3,0
3531407,2,0
3531605,20,0
3531803,2,0
3532009,2,0
3532108,20,0
3515186,3,0
3532207,3,0
3532306,3,0
3532504,2,0
3532702,2,0
3532801,18,0
3515194,3,0
3515202,20,0
3515400,3,0
3515509,20,0
3515657,3,0
3516200,2,0
3516507,21,0
3518008,20,0
3518107,3,0
3518305,3,0
3518503,3,0
3518701,3,0
3519055,2,0
3519204,18,0
3519253,3,0
3519402,2,0
3519600,2,0
3520707,20,0
3521002,3,0
3521150,18,0
3521309,2,0
3521408,3,0
3521606,21,0
3521804,3,0
3522000,3,0
3522208,3,0
3522307,3,0
3522406,3,0
3522604,3,0
3523008,20,0
3523206,3,0
3523404,2,0
3523503,3,0
3523602,3,0
3533205,20,0
3523909,3,0
3524006,2,0
3524204,18,0
3524402,3,0
3524501,20,0
3524709,2,0
3524907,3,0
3525854,3,0
3525904,2,0
3526100,1,0
3526308,3,0
3526407,3,0
3526605,3,0
3526803,3,0
3535705,18,0
3535804,3,0
3536000,2,0
3536208,1,0
3527108,3,0
3527256,2,0
3528858,3,0
3528908,18,0
3539103,3,0
3539202,3,0
3529104,18,0
3529401,3,0
3529609,20,0
3529708,11,0
3539400,3,0
3539509,18,0
3539707,3,0
3529906,1,0
3542107,3,0
3542206,2,0
3530102,20,0
3530300,20,0
3530409,20,0
3530607,3,0
3530706,2,0
3530904,2,0
3531001,2,0
3542404,3,0
3542602,1,0
3542701,2,0
3542909,2,0
3543006,3,0
3532868,2,0
3533007,18,0
3544202,18,0
3533304,2,0
3533502,2,0
3533700,3,0
3533908,18,0
3534005,20,0
3534203,18,0
3534500,3,0
3534708,3,0
3534757,20,0
3534906,18,0
3551405,2,0
3551603,3,0
3551801,1,0
3535101,18,0
3535200,18,0
3535408,21,0
3535507,3,0
3536257,20,0
3536406,20,0
3536570,3,0
3553401,20,0
3553609,18,0
3536802,2,0
3536901,20,0
3537107,2,0
3537206,1,0
3537305,20,0
3537503,3,0
3537602,1,0
3537800,3,0
3538105,18,0
3538204,2,0
3538501,3,0
3538709,2,0
3538907,2,0
3540002,3,0
3540101,3,0
3540200,2,0
3540259,18,0
3540408,20,0
3540606,3,0
3540804,2,0
3555356,20,0
3555505,3,0
3540903,18,0
3541059,3,0
3541208,3,0
3541307,3,0
3541505,17,0
3541703,2,0
3541901,3,0
3543204,3,0
3543253,3,0
3543402,2,0
3543501,3,0
3543600,1,0
3543808,21,0
3544004,2,0
3544103,1,0
3544301,3,0
3544509,20,0
3544608,3,0
3544806,2,0
3545001,3,0
3545159,2,0
3545308,2,0
3545407,3,0
3545605,2,0
3545803,2,0
3546009,3,0
3557006,3,0
3557105,20,0
3557204,3,0
3546256,2,0
3546405,3,0
3546801,3,0
3547007,3,0
3547106,20,0
3547205,20,0
3557303,3,0
3547502,3,0
3547700,17,0
3547809,1,0
3547908,2,0
3548054,2,0
3548203,2,0
3548401,18,0
3548500,1,0
3548708,3,0
3548807,3,0
3549201,20,0
3549409,2,0
3549607,2,0
3549706,18,0
3549904,2,0
3550001,3,0
3550100,3,0
3550407,2,0
3550506,3,0
3550704,1,0
3551009,1,0
3551108,2,0
3551207,3,0
3552007,3,0
3552205,3,0
3552403,2,0
3552551,20,0
3552601,18,0
3552809,3,0
3552908,3,0
3553104,18,0
3553302,2,0
3553658,18,0
3553807,3,0
3553906,3,0
3554003,3,0
3554102,2,0
3554300,0,1
3554607,3,0
3554755,2,0
3554805,2,0
3554953,2,0
3555109,21,0
3555703,2,0
3556008,2,0
3556107,20,0
